,label,name
1495,1,1495
3992,3,3992
6209,6,6209
8064,8,864
4718,4,4718
4468,4,4468
12052,12,1252
14373,14,14373
9833,9,9833
4530,4,4530
12679,12,12679
3729,3,3729
19729,19,19729
7471,7,7471
7465,7,7465
12868,12,12868
2099,2,299
18725,18,18725
17881,17,17881
11779,11,11779
2659,2,2659
11066,11,1166
10633,10,10633
10235,10,10235
3197,3,3197
19148,19,19148
21631,14,142631
18450,18,18450
12083,12,1283
7114,7,7114
20890,14,141890
2952,2,2952
15641,15,15641
9040,9,940
58,0,58
440,0,440
4870,4,4870
6620,6,6620
3318,3,3318
11943,11,11943
7109,7,7109
6502,6,6502
3703,3,3703
10848,10,10848
17712,17,17712
11679,11,11679
10263,10,10263
13561,13,13561
20029,14,141029
16551,16,16551
1457,1,1457
15343,15,15343
13599,13,13599
16706,16,16706
4154,4,4154
2745,2,2745
20136,14,141136
104,0,104
20094,14,141094
9899,9,9899
15261,15,15261
22554,14,143554
12793,12,12793
15067,15,1567
4912,4,4912
10217,10,10217
5724,5,5724
8343,8,8343
6727,6,6727
1977,1,1977
624,0,624
17120,17,17120
9330,9,9330
5148,5,5148
13203,13,13203
12699,12,12699
20358,14,141358
2616,2,2616
16539,16,16539
22841,14,143841
5234,5,5234
19438,19,19438
8574,8,8574
5779,5,5779
20096,14,141096
19610,19,19610
10721,10,10721
4225,4,4225
5959,5,5959
22053,14,143053
22705,14,143705
14171,14,14171
4969,4,4969
6486,6,6486
5092,5,592
17199,17,17199
3802,3,3802
11622,11,11622
18870,18,18870
12928,12,12928
18149,18,18149
5376,5,5376
7238,7,7238
11545,11,11545
19329,19,19329
11447,11,11447
4431,4,4431
20180,14,141180
11339,11,11339
2207,2,2207
388,0,388
3708,3,3708
21206,14,142206
6988,6,6988
2537,2,2537
22763,14,143763
16121,16,16121
5055,5,555
4453,4,4453
3016,3,316
13248,13,13248
6284,6,6284
11837,11,11837
6595,6,6595
5229,5,5229
7789,7,7789
19930,19,19930
17721,17,17721
22602,14,143602
16842,16,16842
20141,14,141141
19125,19,19125
5468,5,5468
7586,7,7586
1393,1,1393
19314,19,19314
14951,14,14951
4447,4,4447
21251,14,142251
16369,16,16369
1446,1,1446
7050,7,750
20125,14,141125
16856,16,16856
21169,14,142169
8139,8,8139
5667,5,5667
970,0,970
5139,5,5139
579,0,579
21154,14,142154
15779,15,15779
9359,9,9359
11422,11,11422
8539,8,8539
21498,14,142498
15209,15,15209
6705,6,6705
7635,7,7635
22756,14,143756
2693,2,2693
10482,10,10482
14924,14,14924
7457,7,7457
22592,14,143592
10052,10,1052
14847,14,14847
12759,12,12759
3550,3,3550
2002,2,22
21536,14,142536
22529,14,143529
4287,4,4287
15780,15,15780
6943,6,6943
10342,10,10342
11977,11,11977
7589,7,7589
5637,5,5637
16583,16,16583
9701,9,9701
17387,17,17387
9702,9,9702
548,0,548
13403,13,13403
3638,3,3638
9807,9,9807
5462,5,5462
18049,18,1849
7425,7,7425
17814,17,17814
17902,17,17902
17378,17,17378
8876,8,8876
3566,3,3566
2647,2,2647
16825,16,16825
20440,14,141440
18547,18,18547
13280,13,13280
1301,1,1301
2018,2,218
6847,6,6847
10798,10,10798
14167,14,14167
7301,7,7301
14511,14,14511
13222,13,13222
5310,5,5310
22365,14,143365
16747,16,16747
10356,10,10356
19056,19,1956
19219,19,19219
4076,4,476
14698,14,14698
2034,2,234
5863,5,5863
20319,14,141319
8999,8,8999
16357,16,16357
5051,5,551
16114,16,16114
20893,14,141893
10623,10,10623
